feature_type,feature_id,feature_name,part_id,point_order,point_kind,longitude,latitude
building,biosystems_lab,Biosystems and Agricultural Engineering Lab,,0,point,-97.07519933911327,36.126354182726494
building,greenhouse_learning,Greenhouse Learning Center,,0,point,-97.07422357136227,36.125561167677766
building,iba_hall,IBA Hall,,0,point,-97.0749644320621,36.12493842631828
building,uhs,University Health Services,,0,point,-97.0739585480225,36.12496761742986
building,kerr_hall,Kerr Hall,,0,point,-97.07388508850764,36.12434012202967
building,kerr_drummond,Kerr-Drummond Cafeteria,,0,point,-97.07379139338751,36.123914864327155
building,drummond_hall,Drummond Hall,,0,point,-97.07387616516287,36.12346798086927
building,central_market,Central Market Place,,0,point,-97.0747060362268,36.12347518868716
building,north_classroom,North Classroom,,0,point,-97.07133836590928,36.126341505206604
building,animal_sciences,Animal Sciences,,0,point,-97.07219969176354,36.12592797068453
building,ag_hall,Agricultural Hall,,0,point,-97.07115766817762,36.12531009739823
building,noble,Noble Research Center,,0,point,-97.06970003980886,36.124444093583605
building,bellmon,Henry Bellmon Research Center,,0,point,-97.07146485432145,36.1240694709957
building,life_science_west,Life Science West,,0,point,-97.07147893337651,36.123044240101045
building,life_science_east,Life Sciences East,,0,point,-97.07065878710593,36.12320986713961
building,library,Edmon Low Library,,0,point,-97.06969506587038,36.12303958168953
building,engineering_south,Engineering South,,0,point,-97.06861690273814,36.12320013655241
building,classroom_building,Classroom Building,,0,point,-97.06873134463484,36.12196434217538
building,whitehurst,Whitehurst,,0,point,-97.07071299642543,36.121974072915755
building,math_sciences,Math Sciences,,0,point,-97.07148397341385,36.122129764597624
building,willard,Willard,,0,point,-97.07115907443067,36.12133880620794
building,student_union,Student Union,,0,point,-97.06827326473093,36.12130528893705
building,psychology,Psychology,,0,point,-97.07262249349247,36.120921747625175
building,social_sciences,Social Sciences and Humanities,,0,point,-97.0722164690357,36.120172635985206
building,south_hall,Stout Hall,,0,point,-97.07354604740694,36.12019426034454
building,gab,General Academic Building,,0,point,-97.0672888352007,36.12212547632304
building,business,Business Building,,0,point,-97.06698797347748,36.12257211514646
building,architecture,Donald W. Reynolds School of Architecture,,0,point,-97.06652471060497,36.12384462293916
building,thatcher,Thatcher Hall,,0,point,-97.06545272571434,36.12296429648587
building,gallagher_iba,Gallagher-Iba Arena,,0,point,-97.0651891960954,36.125725746462706
building,boone_pickens,Boone Pickens Stadium,,0,point,-97.06685345263811,36.12569652336948
building,wrestling_hof,National Wrestling Hall of Fame,,0,point,-97.06326927115624,36.126498693329324
building,bennett_chapel,Bennett Memorial Chapel,,0,point,-97.06778351864018,36.1200362066331
building,gundersen,Gundersen,,0,point,-97.06730660318769,36.12143656954946
building,conoco_phillips,ConocoPhillips OSU Alumni Center,,0,point,-97.06731640643315,36.12081890371775
building,seretean,Seretean Center for the Performing Arts,,0,point,-97.06562534659194,36.12111189965398
building,campus_fire_station,Campus Fire Station,,0,point,-97.06543418330554,36.12001513898137
poi,library_lawn,Library Lawn,,0,point,-97.06969050740152,36.122323267868396
poi,engineering_lawn,Engineering Lawn,,0,point,-97.06873447314234,36.12286181834046
poi,international_mall,International Mall,,0,point,-97.06969396579137,36.12390944448634
poi,theta_pond,Theta Pond Area,,0,point,-97.07082385110049,36.11998211067011
road,road_001,Hall of Fame,road_001,0,intersection,-97.07573548894129,36.12675284522005
road,road_001,Hall of Fame,road_001,1,intersection,-97.07184949387302,36.1267439786227
road,road_001,Hall of Fame,road_001,2,intersection,-97.06945642346375,36.126761711816386
road,road_001,Hall of Fame,road_001,3,curve,-97.06674500882573,36.12696564325588
road,road_001,Hall of Fame,road_001,4,intersection,-97.06273938754723,36.12676120898347
road,road_002,Clevland Street,road_002,0,intersection,-97.07574171050645,36.12675974318995
road,road_002,Clevland Street,road_002,1,intersection,-97.07574171050645,36.12465430244354
road,road_002,Clevland Street,road_002,2,intersection,-97.07569936124929,36.12295409586347
road,road_002,Clevland Street,road_002,3,intersection,-97.0757128037816,36.12148492715368
